"","female","pid_self","postvote_presvtwho","relig_import","ft_dem","ft_rep","health_2010hcr","age","vote.obama","democrat","republican","independent","support.aca"
"1103",0,2,2,1,"30","85",2,88,0,0,1,0,0
"1104",1,3,NA,0,"60","40",1,23,NA,0,0,1,1
"1105",1,3,2,1,"30","60",2,66,0,0,0,1,0
"1106",1,1,1,1,"80","30",1,42,1,1,0,0,1
"1107",0,2,2,1,"50","85",1,53,0,0,1,0,1
"1108",1,1,NA,1,"100","30",1,22,NA,1,0,0,1
"1109",0,3,NA,1,"100","50",2,26,NA,0,0,1,0
"1110",0,3,2,1,"40","70",2,25,0,0,0,1,0
"1111",1,1,1,1,"55","45",1,26,1,1,0,0,1
"1112",0,1,1,1,"100","30",1,49,1,1,0,0,1
"1113",1,3,NA,1,"50","40",1,43,NA,0,0,1,1
"1114",0,NA,1,1,"60","60",3,63,1,NA,NA,NA,0
"1115",0,1,NA,1,"50","50",1,44,NA,1,0,0,1
"1116",1,1,NA,1,"85","20",1,43,NA,1,0,0,1
"1117",1,3,2,1,"0","30",2,24,0,0,0,1,0
"1118",1,2,2,1,"15","85",3,33,0,0,1,0,0
"1119",0,3,1,0,"70","15",1,22,1,0,0,1,1
"1120",1,1,1,1,"85","85",1,54,1,1,0,0,1
"1121",1,NA,NA,0,"60","15",3,21,NA,NA,NA,NA,0
"1122",1,3,NA,1,"85","0",1,65,NA,0,0,1,1
"1123",0,1,NA,1,"100","0",1,63,NA,1,0,0,1
"1124",1,1,NA,1,"100","0",2,56,NA,1,0,0,0
"1125",0,3,NA,1,"15","60",1,34,NA,0,0,1,1
"1126",0,2,2,1,"30","85",2,59,0,0,1,0,0
"1127",1,2,1,1,"40","70",3,38,1,0,1,0,0
"1128",0,1,1,1,"60","15",1,58,1,1,0,0,1
"1129",0,1,1,1,"85","15",1,29,1,1,0,0,1
"1130",1,2,NA,1,"0","85",2,58,NA,0,1,0,0
"1131",0,NA,NA,0,"50","50",1,48,NA,NA,NA,NA,1
"1132",0,1,NA,1,"85","60",3,50,NA,1,0,0,0
"1133",0,1,NA,1,"85","0",3,66,NA,1,0,0,0
"1134",1,2,2,1,"100","100",2,69,0,0,1,0,0
"1135",1,1,1,1,"70","0",1,29,1,1,0,0,1
"1136",0,1,NA,1,"85","40",3,50,NA,1,0,0,0
"1137",0,3,1,1,"60","50",3,42,1,0,0,1,0
"1138",0,3,2,0,"40","50",2,63,0,0,0,1,0
"1139",1,2,2,0,"0","85",2,40,0,0,1,0,0
"1140",1,1,1,1,"85","0",3,59,1,1,0,0,0
"1141",0,3,2,1,"50","50",3,27,0,0,0,1,0
"1142",1,2,2,1,"65","80",2,52,0,0,1,0,0
"1143",1,1,NA,0,"100","60",3,34,NA,1,0,0,0
"1144",1,3,NA,1,"50","50",1,31,NA,0,0,1,1
"1145",0,3,1,1,"100","0",1,44,1,0,0,1,1
"1146",0,3,NA,1,"60","15",1,24,NA,0,0,1,1
"1147",0,1,1,1,"60","60",3,29,1,1,0,0,0
"1148",1,1,NA,1,"70","30",1,56,NA,1,0,0,1
"1149",1,1,1,1,"85","0",1,40,1,1,0,0,1
"1150",0,1,NA,1,"85","70",2,56,NA,1,0,0,0
"1151",0,3,1,1,"60","0",2,72,1,0,0,1,0
"1152",0,1,1,0,"100","60",1,51,1,1,0,0,1
"1153",1,1,NA,1,"100","60",1,53,NA,1,0,0,1
"1154",0,3,1,0,"60","40",3,63,1,0,0,1,0
"1155",1,3,NA,1,"50","50",1,32,NA,0,0,1,1
"1156",0,3,1,1,"70","70",1,33,1,0,0,1,1
"1157",0,2,2,0,"55","75",2,27,0,0,1,0,0
"1158",0,1,NA,1,"95","45",1,57,NA,1,0,0,1
"1159",1,2,1,1,"50","50",3,82,1,0,1,0,0
"1160",1,3,1,0,"30","30",1,23,1,0,0,1,1
"1161",0,2,NA,1,"30","60",3,42,NA,0,1,0,0
"1162",1,1,1,1,"70","50",1,41,1,1,0,0,1
"1163",0,1,1,0,"60","15",1,36,1,1,0,0,1
"1164",1,3,1,1,"30","40",2,63,1,0,0,1,0
"1165",1,3,NA,0,"60","40",1,23,NA,0,0,1,1
"1166",0,2,2,1,"40","85",2,38,0,0,1,0,0
"1167",0,1,2,1,"70","50",1,42,0,1,0,0,1
"1168",1,2,NA,1,"15","70",2,35,NA,0,1,0,0
"1169",0,2,NA,1,"50","100",1,34,NA,0,1,0,1
"1170",0,2,2,0,"30","70",2,26,0,0,1,0,0
"1171",1,3,NA,1,"60","50",1,21,NA,0,0,1,1
"1172",0,1,NA,1,"100","0",1,19,NA,1,0,0,1
"1173",0,3,2,1,"30","70",1,64,0,0,0,1,1
"1174",0,3,1,0,"70","60",1,25,1,0,0,1,1
"1175",1,3,2,1,"40","85",2,58,0,0,0,1,0
"1176",1,1,NA,1,"70","0",1,64,NA,1,0,0,1
"1177",0,3,NA,1,"50","100",2,21,NA,0,0,1,0
"1178",1,1,NA,0,"50","50",1,28,NA,1,0,0,1
"1179",1,1,1,0,"70","40",2,57,1,1,0,0,0
"1180",1,1,1,1,"85","50",1,28,1,1,0,0,1
"1181",1,1,1,1,"85","60",1,43,1,1,0,0,1
"1182",0,3,NA,0,"40","60",2,54,NA,0,0,1,0
"1183",1,2,2,1,"0","100",2,39,0,0,1,0,0
"1184",0,3,NA,0,"60","0",2,37,NA,0,0,1,0
"1185",1,1,NA,1,"100","40",1,40,NA,1,0,0,1
"1186",1,1,NA,0,"85","0",1,46,NA,1,0,0,1
"1187",0,3,2,1,"40","50",NA,44,0,0,0,1,NA
"1188",1,3,NA,1,"60","85",1,40,NA,0,0,1,1
"1189",1,1,1,0,"70","15",1,33,1,1,0,0,1
"1190",1,3,1,1,"60","15",1,32,1,0,0,1,1
"1191",1,2,2,1,"30","60",1,30,0,0,1,0,1
"1192",0,3,NA,1,"40","50",1,31,NA,0,0,1,1
"1193",1,3,NA,1,"60","30",1,30,NA,0,0,1,1
"1194",0,2,NA,0,"50","50",3,70,NA,0,1,0,0
"1195",1,1,1,1,"100","15",1,33,1,1,0,0,1
"1196",0,3,NA,1,"60","50",3,30,NA,0,0,1,0
"1197",0,3,2,0,"30","70",2,37,0,0,0,1,0
"1198",0,3,2,0,"0","85",3,69,0,0,0,1,0
"1199",1,2,2,0,"50","70",3,63,0,0,1,0,0
"1200",0,2,2,1,"0","70",2,58,0,0,1,0,0
